sid,score_year,score_band
33218,2013,middle
33458,2013,middle
33460,2013,middle
33264,2013,middle
35888,2013,middle
36375,2013,middle
38752,2013,middle
32731,2013,middle
32741,2013,middle
32744,2013,middle
32943,2013,middle
32952,2013,middle
32984,2013,middle
33032,2013,middle
33092,2013,middle
33150,2013,middle
33185,2013,middle
33186,2013,middle
34223,2013,middle
33214,2013,middle
34459,2013,middle
33225,2013,middle
34545,2013,middle
34560,2013,middle
34955,2013,middle
35201,2013,middle
35881,2013,middle
35897,2013,middle
29261,2013,middle
29266,2013,middle
29303,2013,middle
29369,2013,middle
29376,2013,middle
29385,2013,middle
29473,2013,middle
29596,2013,middle
29619,2013,middle
29624,2013,middle
29916,2013,middle
29918,2013,middle
30028,2013,middle
30032,2013,middle
30118,2013,middle
33227,2013,middle
33228,2013,middle
33259,2013,middle
31385,2013,middle
33318,2013,middle
33461,2013,middle
33465,2013,middle
33562,2013,middle
33580,2013,middle
33638,2013,middle
33648,2013,middle
31399,2013,middle
33762,2013,middle
33876,2013,middle
34006,2013,middle
28587,2013,middle
28590,2013,middle
28591,2013,middle
28595,2013,middle
28596,2013,middle
28603,2013,middle
29003,2013,middle
29006,2013,middle
29265,2013,middle
29294,2013,middle
30031,2013,middle
30117,2013,middle
30119,2013,middle
30176,2013,middle
30202,2013,middle
34038,2013,middle
34045,2013,middle
34101,2013,middle
34190,2013,middle
34194,2013,middle
34196,2013,middle
30133,2013,middle
30175,2013,middle
34202,2013,middle
30258,2013,middle
34203,2013,middle
34304,2013,middle
30261,2013,middle
28600,2013,middle
28604,2013,middle
28608,2013,middle
28629,2013,middle
28631,2013,middle
28632,2013,middle
28793,2013,middle
28824,2013,middle
28886,2013,middle
28887,2013,middle
28962,2013,middle
28963,2013,middle
28970,2013,middle
28979,2013,middle
28980,2013,middle
29023,2013,middle
29105,2013,middle
29106,2013,middle
29173,2013,middle
29246,2013,middle
29339,2013,middle
29429,2013,middle
29456,2013,middle
29460,2013,middle
29623,2013,middle
28799,2013,middle
29031,2013,middle
29247,2013,middle
29630,2013,middle
29846,2013,middle
30375,2013,middle
30974,2013,middle
32272,2013,middle
34411,2013,middle
34413,2013,middle
34539,2013,middle
35001,2013,middle
35166,2013,middle
29032,2013,middle
29248,2013,middle
31207,2013,middle
34652,2013,middle
29631,2013,middle
31528,2013,middle
31680,2013,middle
31942,2013,middle
32238,2013,middle
32368,2013,middle
32411,2013,middle
30262,2013,middle
30276,2013,middle
32604,2013,middle
30360,2013,middle
32728,2013,middle
32948,2013,middle
30373,2013,middle
30379,2013,middle
33021,2013,middle
33412,2013,middle
30423,2013,middle
33462,2013,middle
34198,2013,middle
30463,2013,middle
30497,2013,middle
33568,2013,middle
30519,2013,middle
34204,2013,middle
34385,2013,middle
30555,2013,middle
30588,2013,middle
34405,2013,middle
30660,2013,middle
34404,2013,middle
30712,2013,middle
34406,2013,middle
34407,2013,middle
34559,2013,middle
30745,2013,middle
34675,2013,middle
30817,2013,middle
35874,2013,middle
30819,2013,middle
30992,2013,middle
35990,2013,middle
30993,2013,middle
28968,2013,middle
28973,2013,middle
29033,2013,middle
29251,2013,middle
29377,2013,middle
29437,2013,middle
29621,2013,middle
29625,2013,middle
31018,2013,middle
31029,2013,middle
31142,2013,middle
31163,2013,middle
29648,2013,middle
29758,2013,middle
29854,2013,middle
34333,2013,middle
34767,2013,middle
29859,2013,middle
34335,2013,middle
34375,2013,middle
29865,2013,middle
