sid,audio_file,audio_year,audio_band
29031,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29031/29031.mp3,2013,middle
29032,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29032/29032.mp3,2013,middle
29033,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29033/29033.mp3,2013,middle
29037,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29037/29037.mp3,2013,middle
29039,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29039/29039.mp3,2013,middle
29042,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29042/29042.mp3,2013,middle
29045,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29045/29045.mp3,2013,middle
29049,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29049/29049.mp3,2013,middle
29050,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29050/29050.mp3,2013,middle
29105,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29105/29105.mp3,2013,middle
29106,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29106/29106.mp3,2013,middle
29140,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29140/29140.mp3,2013,middle
29161,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29161/29161.mp3,2013,middle
29162,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29162/29162.mp3,2013,middle
29173,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29173/29173.mp3,2013,middle
29180,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29180/29180.mp3,2013,middle
29197,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29197/29197.mp3,2013,middle
29198,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29198/29198.mp3,2013,middle
29217,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29217/29217.mp3,2013,middle
29237,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29237/29237.mp3,2013,middle
29239,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29239/29239.mp3,2013,middle
29240,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29240/29240.mp3,2013,middle
29244,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29244/29244.mp3,2013,middle
29246,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29246/29246.mp3,2013,middle
29247,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29247/29247.mp3,2013,middle
29248,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29248/29248.mp3,2013,middle
29250,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29250/29250.mp3,2013,middle
29251,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29251/29251.mp3,2013,middle
29261,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29261/29261.mp3,2013,middle
29262,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29262/29262.mp3,2013,middle
29263,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29263/29263.mp3,2013,middle
29264,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29264/29264.mp3,2013,middle
29265,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29265/29265.mp3,2013,middle
29266,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29266/29266.mp3,2013,middle
29294,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29294/29294.mp3,2013,middle
29302,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29302/29302.mp3,2013,middle
29303,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29303/29303.mp3,2013,middle
29334,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29334/29334.mp3,2013,middle
29335,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29335/29335.mp3,2013,middle
29336,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29336/29336.mp3,2013,middle
29337,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29337/29337.mp3,2013,middle
29338,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29338/29338.mp3,2013,middle
29339,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29339/29339.mp3,2013,middle
29340,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29340/29340.mp3,2013,middle
29341,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29341/29341.mp3,2013,middle
29342,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29342/29342.mp3,2013,middle
29343,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29343/29343.mp3,2013,middle
29345,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29345/29345.mp3,2013,middle
29346,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29346/29346.mp3,2013,middle
29347,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29347/29347.mp3,2013,middle
29348,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29348/29348.mp3,2013,middle
29351,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29351/29351.mp3,2013,middle
29352,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29352/29352.mp3,2013,middle
29354,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29354/29354.mp3,2013,middle
29366,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29366/29366.mp3,2013,middle
29367,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29367/29367.mp3,2013,middle
29368,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29368/29368.mp3,2013,middle
29369,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29369/29369.mp3,2013,middle
29376,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29376/29376.mp3,2013,middle
29377,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29377/29377.mp3,2013,middle
29384,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29384/29384.mp3,2013,middle
29385,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29385/29385.mp3,2013,middle
29388,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29388/29388.mp3,2013,middle
29410,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29410/29410.mp3,2013,middle
29412,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29412/29412.mp3,2013,middle
29428,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29428/29428.mp3,2013,middle
29429,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29429/29429.mp3,2013,middle
29430,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29430/29430.mp3,2013,middle
29433,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29433/29433.mp3,2013,middle
29435,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29435/29435.mp3,2013,middle
29436,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29436/29436.mp3,2013,middle
29437,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29437/29437.mp3,2013,middle
29450,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29450/29450.mp3,2013,middle
29455,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29455/29455.mp3,2013,middle
29456,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29456/29456.mp3,2013,middle
29458,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29458/29458.mp3,2013,middle
29460,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29460/29460.mp3,2013,middle
29461,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29461/29461.mp3,2013,middle
29462,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29462/29462.mp3,2013,middle
29463,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29463/29463.mp3,2013,middle
29469,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29469/29469.mp3,2013,middle
29470,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29470/29470.mp3,2013,middle
29473,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29473/29473.mp3,2013,middle
29596,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29596/29596.mp3,2013,middle
29619,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29619/29619.mp3,2013,middle
29620,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29620/29620.mp3,2013,middle
29621,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29621/29621.mp3,2013,middle
29622,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29622/29622.mp3,2013,middle
29623,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29623/29623.mp3,2013,middle
29624,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29624/29624.mp3,2013,middle
29625,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29625/29625.mp3,2013,middle
29626,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29626/29626.mp3,2013,middle
29627,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29627/29627.mp3,2013,middle
29628,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29628/29628.mp3,2013,middle
29629,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29629/29629.mp3,2013,middle
29630,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29630/29630.mp3,2013,middle
29631,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29631/29631.mp3,2013,middle
29632,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29632/29632.mp3,2013,middle
29633,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29633/29633.mp3,2013,middle
29634,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29634/29634.mp3,2013,middle
29635,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29635/29635.mp3,2013,middle
29638,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29638/29638.mp3,2013,middle
29639,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29639/29639.mp3,2013,middle
