sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
89729,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89729.mp3,2018.0,symphonic,,
89730,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89730.mp3,2018.0,symphonic,,
89739,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89739.mp3,2018.0,middle,,
89740,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89740.mp3,2018.0,middle,,
89742,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89742.mp3,2018.0,middle,,
89746,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89746.mp3,2018.0,middle,,
89752,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89752.mp3,2018.0,middle,,
89754,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89754.mp3,2018.0,middle,,
89756,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89756.mp3,2018.0,middle,,
89757,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89757.mp3,2018.0,middle,,
89759,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89759.mp3,2018.0,middle,,
89761,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89761.mp3,2018.0,symphonic,,
89762,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89762.mp3,2018.0,middle,,
89763,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89763.mp3,2018.0,middle,,
89765,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89765.mp3,2018.0,middle,,
89767,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89767.mp3,2018.0,middle,,
89768,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89768.mp3,2018.0,middle,,
89770,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89770.mp3,2018.0,middle,,
89774,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89774.mp3,2018.0,middle,,
89776,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89776.mp3,2018.0,middle,,
89778,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89778.mp3,2018.0,middle,,
89779,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89779.mp3,2018.0,middle,,
89780,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89780.mp3,2018.0,symphonic,,
89781,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89781.mp3,2018.0,middle,,
89782,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89782.mp3,2018.0,middle,,
89783,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89783.mp3,2018.0,symphonic,,
89788,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89788.mp3,2018.0,middle,,
89789,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89789.mp3,2018.0,symphonic,,
89792,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89792.mp3,2018.0,symphonic,,
89796,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89796.mp3,2018.0,middle,,
89797,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89797.mp3,2018.0,symphonic,,
89800,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89800.mp3,2018.0,middle,,
89803,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89803.mp3,2018.0,symphonic,,
89804,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89804.mp3,2018.0,middle,,
89805,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89805.mp3,2018.0,middle,,
89808,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89808.mp3,2018.0,middle,,
89810,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89810.mp3,2018.0,middle,,
89811,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89811.mp3,2018.0,middle,,
89815,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89815.mp3,2018.0,symphonic,,
89816,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89816.mp3,2018.0,symphonic,,
89820,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89820.mp3,2018.0,symphonic,,
89821,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89821.mp3,2018.0,symphonic,,
89825,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89825.mp3,2018.0,symphonic,,
89828,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89828.mp3,2018.0,concert,,
89829,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89829.mp3,2018.0,symphonic,,
89830,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89830.mp3,2018.0,symphonic,,
89835,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89835.mp3,2018.0,symphonic,,
89840,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89840.mp3,2018.0,symphonic,,
89842,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89842.mp3,2018.0,concert,,
89843,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89843.mp3,2018.0,concert,,
89844,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89844.mp3,2018.0,concert,,
89847,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89847.mp3,2018.0,symphonic,,
89848,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89848.mp3,2018.0,symphonic,,
89850,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89850.mp3,2018.0,symphonic,,
89852,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89852.mp3,2018.0,symphonic,,
89854,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89854.mp3,2018.0,symphonic,,
89856,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89856.mp3,2018.0,symphonic,,
89862,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89862.mp3,2018.0,concert,,
89863,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89863.mp3,2018.0,concert,,
