sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
87413,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87413.mp3,2018.0,symphonic,,
87414,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87414.mp3,2018.0,concert,,
87415,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87415.mp3,2018.0,symphonic,,
87416,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87416.mp3,2018.0,symphonic,,
87417,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87417.mp3,2018.0,concert,,
87418,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87418.mp3,2018.0,symphonic,2018.0,symphonic
87419,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87419.mp3,2018.0,symphonic,,
87420,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87420.mp3,2018.0,middle,,
87421,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87421.mp3,2018.0,concert,,
87422,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87422.mp3,2018.0,symphonic,2018.0,symphonic
87423,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87423.mp3,2018.0,symphonic,,
87424,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87424.mp3,2018.0,symphonic,,
87425,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87425.mp3,2018.0,symphonic,2018.0,symphonic
87426,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87426.mp3,2018.0,concert,2018.0,concert
87427,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87427.mp3,2018.0,symphonic,,
87428,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87428.mp3,2018.0,symphonic,,
87432,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87432.mp3,2018.0,middle,2018.0,middle
87433,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87433.mp3,2018.0,concert,,
87434,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87434.mp3,2018.0,middle,,
87435,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87435.mp3,2018.0,symphonic,,
87436,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87436.mp3,2018.0,symphonic,,
87438,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87438.mp3,2018.0,symphonic,,
87440,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87440.mp3,2018.0,middle,2018.0,middle
87441,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87441.mp3,2018.0,concert,,
87442,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87442.mp3,2018.0,concert,,
87443,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87443.mp3,2018.0,concert,2018.0,concert
87447,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87447.mp3,2018.0,symphonic,,
87453,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87453.mp3,2018.0,concert,2018.0,concert
87454,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87454.mp3,2018.0,concert,2018.0,concert
87455,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87455.mp3,2018.0,concert,2018.0,concert
87456,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87456.mp3,2018.0,concert,2018.0,concert
87457,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87457.mp3,2018.0,concert,2018.0,concert
87465,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87465.mp3,2018.0,middle,2018.0,middle
87466,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87466.mp3,2018.0,middle,,
87467,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87467.mp3,2018.0,middle,,
87468,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87468.mp3,2018.0,middle,2018.0,middle
87470,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87470.mp3,2018.0,middle,,
87472,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87472.mp3,2018.0,symphonic,2018.0,symphonic
87473,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87473.mp3,2018.0,symphonic,,
87476,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87476.mp3,2018.0,symphonic,2018.0,symphonic
87477,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87477.mp3,2018.0,concert,,
87481,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87481.mp3,2018.0,symphonic,,
87482,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87482.mp3,2018.0,concert,2018.0,concert
87488,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87488.mp3,2018.0,symphonic,,
87489,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87489.mp3,2018.0,concert,,
87490,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87490.mp3,2018.0,symphonic,,
87501,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87501.mp3,2018.0,symphonic,,
87503,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87503.mp3,2018.0,concert,2018.0,concert
87504,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87504.mp3,2018.0,concert,2018.0,concert
87507,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87507.mp3,2018.0,symphonic,2018.0,symphonic
87508,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87508.mp3,2018.0,symphonic,,
87509,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87509.mp3,2018.0,symphonic,2018.0,symphonic
87511,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87511.mp3,2018.0,symphonic,2018.0,symphonic
87512,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87512.mp3,2018.0,symphonic,2018.0,symphonic
87514,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87514.mp3,2018.0,symphonic,,
87515,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87515.mp3,2018.0,concert,2018.0,concert
87516,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87516.mp3,2018.0,symphonic,,
87518,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87518.mp3,2018.0,symphonic,2018.0,symphonic
87521,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87521.mp3,2018.0,symphonic,2018.0,symphonic
87522,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87522.mp3,2018.0,symphonic,,
87523,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87523.mp3,2018.0,symphonic,,
87524,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87524.mp3,2018.0,symphonic,,
87526,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87526.mp3,2018.0,symphonic,,
87528,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87528.mp3,2018.0,concert,,
87529,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87529.mp3,2018.0,concert,,
87530,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87530.mp3,2018.0,concert,,
87531,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87531.mp3,2018.0,concert,,
87532,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87532.mp3,2018.0,concert,,
87533,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87533.mp3,2018.0,concert,,
87535,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87535.mp3,2018.0,concert,2018.0,concert
87536,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87536.mp3,2018.0,concert,2018.0,concert
87537,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87537.mp3,2018.0,concert,2018.0,concert
87538,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87538.mp3,2018.0,concert,,
87539,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87539.mp3,2018.0,concert,2018.0,concert
87541,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87541.mp3,2018.0,concert,,
87542,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87542.mp3,2018.0,concert,,
87548,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87548.mp3,2018.0,symphonic,,
87551,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87551.mp3,2018.0,symphonic,2018.0,symphonic
87552,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87552.mp3,2018.0,symphonic,,
87553,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87553.mp3,2018.0,concert,,
87554,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87554.mp3,2018.0,concert,,
87556,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87556.mp3,2018.0,concert,,
87557,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87557.mp3,2018.0,concert,,
87559,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87559.mp3,2018.0,symphonic,,
87560,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87560.mp3,2018.0,symphonic,,
87563,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87563.mp3,2018.0,symphonic,2018.0,symphonic
87565,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87565.mp3,2018.0,symphonic,2018.0,symphonic
87566,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87566.mp3,2018.0,concert,,
87567,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87567.mp3,2018.0,concert,,
87568,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87568.mp3,2018.0,symphonic,,
87570,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87570.mp3,2018.0,concert,,
87571,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87571.mp3,2018.0,symphonic,,
87572,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87572.mp3,2018.0,concert,,
87573,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87573.mp3,2018.0,concert,,
87574,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87574.mp3,2018.0,symphonic,2018.0,symphonic
87575,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87575.mp3,2018.0,concert,,
87578,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87578.mp3,2018.0,concert,,
87580,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87580.mp3,2018.0,symphonic,,
87581,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87581.mp3,2018.0,concert,2018.0,concert
87582,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87582.mp3,2018.0,symphonic,2018.0,symphonic
87583,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87583.mp3,2018.0,symphonic,2018.0,symphonic
87584,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87584.mp3,2018.0,symphonic,2018.0,symphonic
87586,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87586.mp3,2018.0,concert,,
87587,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87587.mp3,2018.0,symphonic,,
87588,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87588.mp3,2018.0,symphonic,2018.0,symphonic
87589,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87589.mp3,2018.0,symphonic,2018.0,symphonic
87591,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87591.mp3,2018.0,symphonic,2018.0,symphonic
87593,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87593.mp3,2018.0,symphonic,,
87594,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87594.mp3,2018.0,concert,,
87595,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87595.mp3,2018.0,symphonic,,
87596,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87596.mp3,2018.0,symphonic,,
87597,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87597.mp3,2018.0,symphonic,,
87598,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87598.mp3,2018.0,symphonic,,
87600,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87600.mp3,2018.0,concert,,
87601,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87601.mp3,2018.0,concert,,
87602,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87602.mp3,2018.0,concert,2018.0,concert
87605,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87605.mp3,2018.0,symphonic,,
87606,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87606.mp3,2018.0,symphonic,,
87609,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87609.mp3,2018.0,concert,2018.0,concert
